summary,Iteracion,Semilla,MLP Accuracy,MLP Duracion (ms),LR Accuracy,LR Duracion (ms)
count,30,30,30,30,30,30
mean,15.5,1264.2666666666667,0.8823749563107507,4699.9,0.9011550885531785,6005.633333333333
stddev,8.803408430829505,136.55463308175217,0.003047179286340487,222.09121301067216,0.0018620891698254973,149.5186491270623
min,1,1013,0.8762817154404611,4314.0,0.8973227419829362,5753.0
max,30,1488,0.8891111111111111,5148.0,0.9047902409997025,6362.0
